Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
F,0.530,0.425,0.130,0.758,0.325,0.197,0.205,8
F,0.530,0.425,0.150,0.850,0.328,0.232,0.202,8
M,0.530,0.405,0.125,0.651,0.272,0.161,0.186,7
F,0.535,0.400,0.135,0.822,0.394,0.196,0.205,8
M,0.535,0.430,0.140,0.717,0.285,0.160,0.215,8
M,0.535,0.435,0.140,0.874,0.373,0.229,0.220,8
F,0.550,0.445,0.155,0.991,0.544,0.178,0.218,9
F,0.550,0.430,0.140,0.810,0.368,0.161,0.275,9
F,0.560,0.455,0.160,0.967,0.453,0.207,0.274,9
F,0.565,0.400,0.130,0.698,0.307,0.167,0.180,8
M,0.570,0.450,0.155,1.195,0.562,0.257,0.295,10
M,0.570,0.450,0.155,1.194,0.513,0.210,0.343,10
F,0.570,0.455,0.150,1.107,0.540,0.255,0.270,8
M,0.570,0.445,0.140,1.063,0.526,0.220,0.240,8
M,0.570,0.460,0.170,0.903,0.407,0.194,0.214,7
M,0.575,0.475,0.160,1.114,0.495,0.275,0.290,9
F,0.575,0.460,0.160,1.103,0.538,0.221,0.249,9
F,0.580,0.460,0.150,1.115,0.557,0.226,0.290,7
F,0.580,0.460,0.180,1.052,0.409,0.260,0.276,8
M,0.580,0.455,0.150,1.012,0.498,0.211,0.283,10
F,0.580,0.450,0.145,1.137,0.558,0.220,0.290,8
M,0.580,0.490,0.130,1.133,0.586,0.257,0.237,9
M,0.590,0.465,0.155,1.136,0.524,0.262,0.275,11
M,0.590,0.470,0.160,1.206,0.479,0.242,0.309,8
F,0.590,0.455,0.145,1.063,0.515,0.244,0.250,8
F,0.595,0.470,0.155,1.121,0.452,0.178,0.155,11
F,0.595,0.450,0.150,1.114,0.587,0.221,0.250,11
M,0.595,0.475,0.165,1.213,0.621,0.243,0.274,9
F,0.595,0.460,0.140,1.004,0.466,0.209,0.252,9
M,0.595,0.455,0.150,1.044,0.518,0.221,0.270,9
F,0.605,0.490,0.150,1.135,0.526,0.265,0.295,9
M,0.605,0.475,0.155,1.161,0.572,0.245,0.275,9
M,0.605,0.470,0.165,1.232,0.603,0.262,0.292,11
M,0.610,0.470,0.150,1.163,0.565,0.258,0.308,11
M,0.610,0.475,0.155,1.168,0.554,0.239,0.330,10
F,0.615,0.480,0.160,1.252,0.585,0.260,0.330,8
F,0.620,0.510,0.180,1.331,0.594,0.276,0.388,11
F,0.625,0.480,0.170,1.353,0.624,0.278,0.365,10
M,0.625,0.490,0.175,1.333,0.571,0.271,0.405,10
F,0.625,0.475,0.175,1.143,0.475,0.247,0.349,10
F,0.625,0.500,0.165,1.288,0.573,0.303,0.315,9
F,0.625,0.485,0.200,1.380,0.585,0.302,0.401,9
M,0.630,0.485,0.155,1.278,0.637,0.275,0.310,8
F,0.630,0.495,0.165,1.308,0.599,0.284,0.315,11
M,0.630,0.480,0.150,1.179,0.518,0.248,0.324,8
M,0.635,0.490,0.175,1.375,0.623,0.271,0.395,11
M,0.635,0.525,0.185,1.407,0.684,0.300,0.374,10
M,0.640,0.505,0.155,1.403,0.705,0.266,0.335,10
F,0.640,0.500,0.170,1.518,0.693,0.326,0.409,11
F,0.640,0.500,0.175,1.394,0.493,0.291,0.400,10
F,0.645,0.500,0.155,1.220,0.615,0.236,0.319,10
M,0.645,0.520,0.175,1.636,0.779,0.342,0.432,11
M,0.645,0.520,0.175,1.561,0.709,0.355,0.400,8
F,0.645,0.505,0.165,1.433,0.684,0.308,0.336,8
M,0.645,0.500,0.175,1.339,0.633,0.299,0.349,11
F,0.645,0.500,0.160,1.246,0.547,0.327,0.300,10
F,0.645,0.515,0.150,1.212,0.515,0.205,0.385,10
M,0.650,0.495,0.160,1.304,0.570,0.312,0.372,9
M,0.650,0.520,0.210,1.679,0.666,0.308,0.460,11
M,0.650,0.525,0.185,1.622,0.664,0.323,0.477,10
F,0.655,0.460,0.160,1.494,0.690,0.331,0.182,9
F,0.655,0.510,0.175,1.653,0.852,0.337,0.403,10
F,0.660,0.505,0.185,1.528,0.690,0.302,0.441,11
M,0.660,0.535,0.190,1.591,0.642,0.297,0.517,9
M,0.660,0.495,0.195,1.627,0.594,0.359,0.485,10
F,0.660,0.475,0.180,1.369,0.641,0.294,0.335,6
M,0.670,0.525,0.165,1.609,0.682,0.315,0.401,11
F,0.675,0.570,0.225,1.587,0.739,0.299,0.435,10
F,0.675,0.565,0.195,1.837,0.764,0.361,0.553,12
M,0.680,0.535,0.185,1.607,0.725,0.322,0.498,12
M,0.690,0.525,0.175,1.700,0.826,0.362,0.405,8
M,0.690,0.505,0.200,1.872,0.893,0.402,0.480,10
F,0.695,0.535,0.175,1.839,0.803,0.396,0.503,10
F,0.705,0.535,0.180,1.685,0.693,0.420,0.405,12
M,0.710,0.565,0.205,2.198,1.012,0.522,0.547,11
M,0.715,0.565,0.175,1.952,0.764,0.418,0.413,10
F,0.715,0.525,0.185,1.560,0.665,0.383,0.405,11
F,0.735,0.600,0.220,2.555,1.133,0.440,0.600,11
M,0.765,0.600,0.220,2.302,1.007,0.509,0.621,12
I,0.185,0.130,0.045,0.029,0.012,0.007,0.009,4
I,0.195,0.150,0.045,0.037,0.018,0.006,0.011,3
I,0.195,0.135,0.040,0.033,0.013,0.005,0.009,4
I,0.200,0.155,0.040,0.043,0.015,0.009,0.007,4
I,0.225,0.165,0.055,0.059,0.027,0.013,0.015,4
I,0.245,0.180,0.065,0.071,0.030,0.013,0.021,4
I,0.250,0.180,0.065,0.069,0.025,0.015,0.022,5
I,0.265,0.195,0.055,0.084,0.036,0.018,0.025,7
I,0.275,0.195,0.065,0.106,0.054,0.020,0.028,6
I,0.280,0.210,0.085,0.107,0.042,0.024,0.034,5
I,0.285,0.220,0.065,0.096,0.041,0.021,0.030,5
I,0.300,0.220,0.080,0.126,0.055,0.026,0.039,6
I,0.315,0.235,0.055,0.151,0.065,0.027,0.039,6
I,0.320,0.225,0.085,0.141,0.068,0.029,0.041,6
I,0.340,0.265,0.080,0.202,0.090,0.048,0.055,5
I,0.370,0.280,0.100,0.221,0.117,0.026,0.064,6
I,0.375,0.280,0.080,0.234,0.113,0.045,0.067,6
I,0.375,0.275,0.100,0.233,0.117,0.042,0.065,6
I,0.385,0.290,0.080,0.248,0.122,0.050,0.065,7
I,0.400,0.320,0.095,0.348,0.194,0.053,0.087,6
I,0.405,0.300,0.110,0.320,0.172,0.044,0.093,7
I,0.410,0.300,0.100,0.282,0.126,0.057,0.087,7
I,0.410,0.325,0.100,0.325,0.132,0.072,0.106,6
I,0.420,0.300,0.105,0.316,0.126,0.070,0.103,7
I,0.420,0.320,0.110,0.362,0.174,0.064,0.105,7
I,0.420,0.310,0.095,0.279,0.126,0.051,0.088,6
I,0.425,0.325,0.115,0.368,0.162,0.086,0.104,7
M,0.430,0.335,0.120,0.397,0.199,0.086,0.103,7
I,0.435,0.330,0.110,0.413,0.205,0.096,0.096,6
I,0.435,0.345,0.115,0.418,0.222,0.073,0.106,7
I,0.440,0.330,0.110,0.370,0.154,0.084,0.120,7
I,0.445,0.345,0.105,0.409,0.168,0.102,0.117,7
I,0.445,0.340,0.145,0.434,0.195,0.090,0.130,7
I,0.445,0.335,0.110,0.411,0.199,0.093,0.109,8
I,0.450,0.365,0.125,0.462,0.213,0.099,0.132,8
I,0.450,0.340,0.120,0.492,0.241,0.107,0.120,6
I,0.450,0.330,0.105,0.371,0.186,0.079,0.098,7
I,0.450,0.330,0.100,0.411,0.195,0.100,0.098,6
I,0.450,0.330,0.110,0.368,0.160,0.088,0.102,6
I,0.460,0.350,0.115,0.415,0.180,0.098,0.117,7
M,0.470,0.360,0.105,0.544,0.270,0.140,0.129,7
I,0.470,0.380,0.125,0.484,0.211,0.107,0.142,6
I,0.475,0.350,0.110,0.457,0.206,0.099,0.130,6
I,0.475,0.350,0.100,0.455,0.216,0.111,0.115,7
I,0.480,0.380,0.125,0.625,0.340,0.108,0.167,8
M,0.490,0.465,0.125,0.522,0.235,0.130,0.141,7
I,0.500,0.375,0.140,0.549,0.248,0.112,0.159,7
I,0.500,0.375,0.120,0.542,0.215,0.116,0.170,9
I,0.500,0.380,0.125,0.519,0.248,0.114,0.134,8
M,0.500,0.390,0.125,0.521,0.248,0.117,0.131,6
F,0.505,0.390,0.125,0.544,0.246,0.150,0.141,7
I,0.510,0.405,0.125,0.679,0.346,0.140,0.182,8
F,0.510,0.400,0.125,0.545,0.261,0.115,0.139,6
I,0.510,0.400,0.125,0.557,0.262,0.119,0.152,9
I,0.510,0.380,0.115,0.515,0.215,0.114,0.166,8
I,0.515,0.385,0.125,0.612,0.318,0.127,0.150,8
M,0.520,0.400,0.145,0.776,0.352,0.184,0.185,9
I,0.520,0.380,0.135,0.539,0.230,0.133,0.157,8
I,0.520,0.380,0.125,0.554,0.288,0.130,0.167,8
F,0.520,0.460,0.150,1.019,0.523,0.199,0.254,7
I,0.525,0.400,0.130,0.645,0.325,0.124,0.170,8
I,0.525,0.400,0.140,0.601,0.263,0.129,0.183,9
M,0.525,0.405,0.120,0.755,0.376,0.155,0.201,9
I,0.525,0.395,0.120,0.608,0.297,0.140,0.141,8
I,0.530,0.400,0.125,0.617,0.279,0.127,0.190,8
I,0.535,0.390,0.125,0.599,0.260,0.149,0.169,9
I,0.540,0.420,0.140,0.666,0.312,0.138,0.190,10
M,0.545,0.390,0.135,0.783,0.422,0.181,0.156,7
M,0.545,0.410,0.120,0.793,0.434,0.141,0.190,9
M,0.545,0.415,0.140,0.820,0.462,0.127,0.218,9
F,0.550,0.415,0.135,0.815,0.427,0.185,0.175,8
F,0.550,0.430,0.150,0.840,0.395,0.195,0.223,8
M,0.550,0.425,0.150,0.832,0.411,0.176,0.216,10
M,0.560,0.430,0.145,0.899,0.464,0.177,0.234,9
M,0.560,0.445,0.160,0.896,0.420,0.217,0.222,8
F,0.560,0.440,0.155,0.640,0.336,0.176,0.245,8
M,0.560,0.415,0.145,0.852,0.430,0.189,0.205,8
M,0.565,0.455,0.150,0.960,0.457,0.239,0.230,9
M,0.565,0.435,0.150,0.990,0.580,0.182,0.206,8
F,0.565,0.450,0.175,1.010,0.447,0.237,0.265,9
M,0.570,0.460,0.150,1.038,0.541,0.203,0.250,9
F,0.570,0.445,0.145,0.877,0.412,0.217,0.220,8
I,0.570,0.440,0.150,0.755,0.343,0.160,0.224,8
F,0.575,0.460,0.145,0.995,0.466,0.229,0.265,7
F,0.575,0.450,0.160,1.068,0.556,0.214,0.258,10
M,0.575,0.435,0.140,0.846,0.401,0.191,0.222,9
F,0.575,0.470,0.165,0.869,0.435,0.197,0.238,9
M,0.575,0.455,0.135,0.907,0.424,0.197,0.260,9
I,0.575,0.435,0.130,0.805,0.316,0.215,0.245,10
M,0.575,0.445,0.170,1.022,0.549,0.217,0.228,9
M,0.575,0.445,0.145,0.847,0.415,0.195,0.220,9
M,0.580,0.455,0.150,1.114,0.476,0.215,0.265,8
M,0.580,0.455,0.195,1.859,0.945,0.426,0.441,9
M,0.580,0.445,0.135,0.814,0.378,0.192,0.220,9
M,0.580,0.450,0.140,0.962,0.486,0.181,0.253,9
M,0.580,0.450,0.145,1.002,0.547,0.198,0.230,8
F,0.580,0.450,0.155,0.930,0.385,0.246,0.265,9
M,0.585,0.460,0.145,0.933,0.478,0.182,0.235,9
M,0.585,0.465,0.160,0.956,0.460,0.236,0.265,7
M,0.590,0.470,0.150,0.996,0.481,0.232,0.240,8
F,0.600,0.475,0.160,1.026,0.485,0.249,0.257,9
M,0.600,0.455,0.170,1.192,0.696,0.239,0.240,8
F,0.600,0.465,0.150,1.103,0.545,0.262,0.250,8
M,0.600,0.465,0.155,1.016,0.512,0.246,0.225,10
F,0.605,0.470,0.165,1.177,0.611,0.228,0.292,9
M,0.605,0.475,0.140,1.117,0.555,0.257,0.274,9
M,0.605,0.480,0.170,1.183,0.582,0.236,0.317,10
F,0.605,0.475,0.165,1.056,0.433,0.220,0.357,9
M,0.610,0.485,0.160,1.014,0.531,0.212,0.241,8
M,0.610,0.485,0.145,1.331,0.783,0.226,0.286,9
M,0.610,0.470,0.165,1.052,0.498,0.242,0.267,9
M,0.615,0.460,0.170,1.056,0.481,0.272,0.270,10
F,0.615,0.465,0.150,0.923,0.462,0.182,0.241,9
F,0.615,0.475,0.155,1.027,0.447,0.250,0.285,9
M,0.620,0.470,0.135,1.020,0.531,0.201,0.247,8
M,0.620,0.450,0.200,0.858,0.428,0.152,0.240,8
F,0.620,0.480,0.160,1.113,0.564,0.244,0.281,8
F,0.625,0.485,0.175,1.375,0.734,0.272,0.332,9
M,0.625,0.480,0.185,1.206,0.587,0.290,0.286,8
M,0.630,0.470,0.155,1.133,0.589,0.211,0.287,8
M,0.630,0.500,0.175,1.264,0.564,0.306,0.343,10
F,0.635,0.495,0.015,1.157,0.511,0.308,0.288,9
M,0.640,0.515,0.165,1.369,0.632,0.342,0.358,10
M,0.645,0.530,0.195,1.390,0.646,0.294,0.373,10
F,0.645,0.480,0.170,1.135,0.528,0.254,0.305,10
F,0.650,0.500,0.190,1.464,0.641,0.339,0.424,9
M,0.650,0.500,0.155,1.202,0.565,0.314,0.294,11
M,0.655,0.515,0.160,1.310,0.553,0.369,0.345,11
F,0.655,0.510,0.175,1.415,0.589,0.372,0.364,10
F,0.660,0.530,0.185,1.346,0.546,0.271,0.476,11
M,0.665,0.525,0.160,1.363,0.629,0.279,0.340,8
I,0.665,0.500,0.170,1.298,0.604,0.291,0.359,9
F,0.670,0.505,0.205,1.365,0.608,0.302,0.353,9
F,0.685,0.540,0.215,1.702,0.664,0.365,0.473,14
M,0.685,0.520,0.165,1.519,0.699,0.368,0.400,10
F,0.690,0.540,0.155,1.454,0.624,0.310,0.390,9
M,0.690,0.530,0.210,1.583,0.736,0.405,0.387,12
F,0.690,0.530,0.170,1.554,0.794,0.348,0.369,9
M,0.695,0.560,0.185,1.740,0.885,0.371,0.438,10
M,0.700,0.565,0.180,1.751,0.895,0.336,0.446,9
M,0.700,0.575,0.190,2.273,1.095,0.418,0.638,12
F,0.700,0.525,0.190,1.647,0.855,0.307,0.400,9
F,0.705,0.550,0.170,1.219,0.639,0.236,0.301,9
F,0.710,0.560,0.180,1.652,0.735,0.381,0.453,11
M,0.715,0.550,0.190,2.005,1.046,0.407,0.507,12
M,0.715,0.535,0.190,1.675,0.889,0.313,0.420,10
F,0.720,0.580,0.195,2.103,1.026,0.480,0.537,10
F,0.720,0.550,0.200,1.996,0.903,0.469,0.521,10
M,0.720,0.565,0.145,1.187,0.691,0.195,0.269,8
M,0.725,0.505,0.185,1.978,1.026,0.425,0.451,12
F,0.730,0.575,0.185,1.879,0.931,0.380,0.482,12
M,0.735,0.585,0.185,2.124,0.952,0.550,0.500,11
M,0.745,0.565,0.215,1.931,0.896,0.459,0.500,11
F,0.750,0.570,0.210,2.236,1.109,0.519,0.545,11
F,0.755,0.625,0.210,2.505,1.196,0.513,0.678,11
M,0.755,0.580,0.205,2.006,0.830,0.402,0.595,10
F,0.780,0.630,0.215,2.657,1.488,0.498,0.586,11
I,0.185,0.375,0.120,0.465,0.196,0.104,0.150,6
I,0.245,0.205,0.060,0.076,0.034,0.014,0.021,4
I,0.250,0.185,0.065,0.069,0.029,0.014,0.022,5
I,0.250,0.190,0.065,0.084,0.039,0.015,0.025,5
I,0.275,0.195,0.090,0.113,0.054,0.029,0.035,6
I,0.305,0.215,0.065,0.107,0.044,0.021,0.038,5
I,0.310,0.225,0.070,0.105,0.435,0.015,0.040,5
I,0.315,0.230,0.080,0.138,0.054,0.031,0.044,5
I,0.315,0.230,0.070,0.115,0.046,0.024,0.038,5
I,0.325,0.225,0.075,0.139,0.057,0.032,0.090,6
I,0.330,0.250,0.095,0.208,0.102,0.040,0.052,7
I,0.330,0.205,0.095,0.160,0.077,0.032,0.043,5
I,0.335,0.245,0.090,0.202,0.096,0.041,0.048,7
I,0.340,0.250,0.090,0.179,0.077,0.033,0.055,6
I,0.345,0.255,0.095,0.195,0.092,0.037,0.055,6
I,0.345,0.255,0.085,0.201,0.105,0.037,0.050,5
I,0.350,0.270,0.075,0.215,0.100,0.036,0.065,6
I,0.350,0.255,0.090,0.178,0.086,0.030,0.052,8
I,0.360,0.270,0.085,0.196,0.087,0.035,0.064,4
I,0.365,0.270,0.085,0.188,0.081,0.042,0.058,6
I,0.365,0.270,0.085,0.196,0.083,0.037,0.060,7
I,0.365,0.265,0.085,0.213,0.095,0.049,0.060,7
I,0.370,0.290,0.090,0.244,0.089,0.066,0.075,7
I,0.370,0.280,0.085,0.217,0.110,0.035,0.062,6
I,0.375,0.290,0.095,0.213,0.096,0.041,0.061,5
I,0.375,0.290,0.085,0.238,0.118,0.045,0.070,7
I,0.375,0.275,0.090,0.218,0.093,0.041,0.075,6
I,0.375,0.275,0.095,0.246,0.110,0.042,0.077,6
I,0.375,0.280,0.080,0.203,0.083,0.048,0.065,8
I,0.375,0.270,0.085,0.218,0.095,0.039,0.070,7
I,0.380,0.275,0.110,0.256,0.110,0.053,0.075,6
I,0.380,0.270,0.080,0.210,0.086,0.042,0.070,8
I,0.385,0.290,0.090,0.262,0.111,0.059,0.074,9
I,0.385,0.280,0.085,0.217,0.097,0.038,0.067,8
I,0.385,0.300,0.095,0.302,0.152,0.061,0.073,7
I,0.385,0.280,0.090,0.228,0.102,0.042,0.066,5
I,0.390,0.300,0.095,0.327,0.167,0.058,0.089,7
I,0.395,0.305,0.105,0.284,0.114,0.059,0.095,8
I,0.395,0.295,0.095,0.273,0.115,0.062,0.085,8
I,0.395,0.270,0.100,0.298,0.144,0.061,0.082,5
I,0.400,0.290,0.100,0.268,0.120,0.060,0.076,5
I,0.405,0.285,0.090,0.265,0.127,0.051,0.075,6
I,0.410,0.335,0.110,0.330,0.157,0.070,0.170,7
I,0.420,0.305,0.090,0.328,0.168,0.061,0.082,6
I,0.425,0.325,0.110,0.334,0.173,0.045,0.100,7
I,0.425,0.320,0.100,0.305,0.126,0.060,0.106,7
I,0.425,0.310,0.090,0.301,0.139,0.065,0.080,7
I,0.430,0.340,0.000,0.428,0.206,0.086,0.115,8
I,0.430,0.315,0.095,0.378,0.175,0.080,0.104,8
I,0.435,0.315,0.110,0.368,0.162,0.071,0.120,7
I,0.440,0.340,0.120,0.438,0.211,0.083,0.120,9
I,0.450,0.330,0.105,0.448,0.208,0.089,0.120,9
I,0.455,0.345,0.105,0.401,0.164,0.075,0.126,8
F,0.455,0.365,0.115,0.430,0.184,0.108,0.124,8
I,0.455,0.330,0.100,0.372,0.358,0.077,0.110,8
I,0.460,0.360,0.105,0.466,0.223,0.099,0.110,7
I,0.460,0.350,0.105,0.370,0.158,0.077,0.114,9
F,0.460,0.365,0.125,0.478,0.206,0.104,0.141,8
I,0.465,0.340,0.110,0.346,0.142,0.073,0.113,11
I,0.470,0.365,0.100,0.411,0.175,0.086,0.135,8
I,0.470,0.355,0.180,0.480,0.205,0.105,0.150,8
I,0.470,0.355,0.120,0.393,0.167,0.088,0.115,8
I,0.475,0.355,0.100,0.503,0.254,0.091,0.140,8
I,0.475,0.380,0.120,0.441,0.178,0.088,0.150,8
I,0.475,0.360,0.110,0.492,0.211,0.110,0.150,8
I,0.480,0.370,0.125,0.543,0.244,0.101,0.165,9
I,0.480,0.355,0.115,0.472,0.206,0.112,0.132,8
I,0.480,0.365,0.100,0.461,0.221,0.084,0.135,8
I,0.495,0.355,0.120,0.496,0.214,0.104,0.149,8
I,0.495,0.380,0.130,0.512,0.218,0.116,0.160,7
M,0.495,0.395,0.120,0.553,0.224,0.138,0.167,8
I,0.500,0.380,0.135,0.594,0.294,0.104,0.157,9
M,0.500,0.420,0.135,0.676,0.302,0.141,0.206,9
I,0.500,0.375,0.145,0.580,0.239,0.138,0.185,9
I,0.500,0.410,0.140,0.661,0.259,0.163,0.196,9
I,0.500,0.375,0.125,0.570,0.259,0.124,0.157,7
I,0.500,0.395,0.140,0.622,0.292,0.120,0.195,9
I,0.505,0.405,0.130,0.602,0.301,0.110,0.180,8
I,0.505,0.380,0.120,0.594,0.260,0.143,0.180,7
I,0.505,0.395,0.105,0.551,0.248,0.103,0.171,8
I,0.515,0.380,0.120,0.625,0.327,0.130,0.160,7
I,0.515,0.420,0.135,0.711,0.337,0.144,0.205,13
I,0.515,0.400,0.135,0.697,0.320,0.126,0.175,9
I,0.520,0.400,0.130,0.583,0.233,0.137,0.180,10
I,0.520,0.395,0.125,0.663,0.300,0.131,0.191,9
I,0.525,0.400,0.125,0.697,0.369,0.139,0.164,9
M,0.525,0.420,0.155,0.842,0.428,0.141,0.204,9
I,0.530,0.415,0.130,0.694,0.391,0.111,0.167,9
I,0.530,0.420,0.155,0.810,0.472,0.111,0.192,10
I,0.530,0.415,0.110,0.575,0.253,0.123,0.189,9
I,0.530,0.425,0.130,0.767,0.419,0.120,0.210,9
I,0.535,0.400,0.135,0.603,0.289,0.121,0.154,9
I,0.535,0.415,0.150,0.577,0.359,0.135,0.225,8
F,0.535,0.410,0.130,0.715,0.335,0.144,0.207,9
M,0.535,0.435,0.150,0.717,0.347,0.144,0.194,9
F,0.540,0.420,0.145,0.866,0.431,0.163,0.217,10
I,0.540,0.420,0.140,0.727,0.321,0.144,0.229,9
I,0.545,0.435,0.135,0.771,0.372,0.148,0.227,8
F,0.545,0.445,0.150,0.800,0.353,0.163,0.207,9
I,0.545,0.430,0.150,0.729,0.302,0.132,0.255,10
I,0.545,0.405,0.135,0.595,0.270,0.118,0.185,8
I,0.550,0.430,0.145,0.789,0.374,0.171,0.223,11
F,0.550,0.405,0.125,0.651,0.296,0.137,0.200,9
M,0.550,0.430,0.150,0.875,0.413,0.191,0.248,9
I,0.550,0.435,0.140,0.753,0.329,0.155,0.233,10
I,0.550,0.425,0.135,0.731,0.333,0.154,0.215,9
M,0.555,0.440,0.140,0.871,0.407,0.156,0.255,9
I,0.555,0.430,0.155,0.740,0.314,0.143,0.280,10
I,0.555,0.430,0.140,0.766,0.341,0.165,0.230,9
I,0.555,0.425,0.145,0.790,0.348,0.176,0.225,9
I,0.560,0.425,0.135,0.821,0.371,0.185,0.236,9
I,0.560,0.425,0.145,0.688,0.309,0.131,0.216,9
F,0.560,0.445,0.155,1.224,0.556,0.323,0.270,10
I,0.560,0.455,0.145,0.974,0.547,0.162,0.235,9
I,0.565,0.440,0.175,0.874,0.414,0.210,0.210,11
F,0.565,0.450,0.145,0.850,0.421,0.169,0.225,8
M,0.565,0.445,0.150,0.796,0.363,0.184,0.219,8
M,0.565,0.390,0.125,0.744,0.352,0.130,0.169,11
I,0.570,0.450,0.145,0.751,0.282,0.220,0.222,10
I,0.570,0.450,0.135,0.794,0.382,0.141,0.245,8
F,0.570,0.460,0.135,0.980,0.397,0.253,0.266,9
M,0.570,0.435,0.170,0.873,0.382,0.183,0.271,10
I,0.570,0.440,0.130,0.766,0.347,0.178,0.202,10
M,0.570,0.435,0.125,0.896,0.383,0.183,0.275,9
F,0.575,0.420,0.135,0.857,0.461,0.147,0.212,10
F,0.575,0.480,0.165,1.078,0.511,0.209,0.306,9
M,0.575,0.460,0.155,0.892,0.442,0.176,0.220,10
M,0.580,0.460,0.155,1.440,0.671,0.273,0.295,10
M,0.580,0.455,0.135,0.795,0.405,0.167,0.204,10
F,0.580,0.445,0.150,0.858,0.400,0.156,0.253,8
M,0.585,0.465,0.155,0.914,0.456,0.197,0.235,9
M,0.585,0.490,0.185,1.171,0.522,0.254,0.335,10
I,0.585,0.475,0.160,1.050,0.480,0.234,0.285,10
M,0.585,0.460,0.165,1.113,0.583,0.234,0.274,10
M,0.585,0.470,0.165,1.409,0.800,0.229,0.295,10
M,0.585,0.475,0.150,1.065,0.531,0.199,0.288,10
M,0.585,0.450,0.180,0.799,0.336,0.185,0.237,8
I,0.590,0.445,0.135,0.771,0.328,0.174,0.230,9
M,0.590,0.470,0.180,1.187,0.599,0.227,0.310,9
M,0.590,0.455,0.155,0.885,0.388,0.188,0.275,10
F,0.595,0.465,0.150,0.980,0.411,0.196,0.226,10
F,0.595,0.465,0.155,1.026,0.465,0.112,0.305,12
M,0.600,0.475,0.170,1.131,0.508,0.272,0.309,10
M,0.600,0.480,0.155,1.014,0.451,0.189,0.325,11
I,0.600,0.475,0.150,1.120,0.565,0.246,0.270,10
F,0.600,0.465,0.155,1.040,0.475,0.250,0.280,11
F,0.600,0.455,0.145,0.889,0.419,0.172,0.269,10
M,0.600,0.460,0.155,0.960,0.446,0.189,0.295,11
I,0.605,0.485,0.150,1.238,0.631,0.226,0.330,11
M,0.605,0.490,0.140,0.976,0.419,0.206,0.315,10
I,0.605,0.435,0.130,0.902,0.432,0.174,0.260,11
F,0.605,0.475,0.175,1.076,0.463,0.220,0.335,9
F,0.605,0.470,0.160,1.083,0.540,0.222,0.275,12
M,0.610,0.450,0.150,0.871,0.407,0.183,0.250,10
M,0.610,0.480,0.165,1.244,0.634,0.257,0.305,12
M,0.610,0.475,0.170,1.026,0.435,0.234,0.303,10
I,0.610,0.465,0.150,0.961,0.450,0.172,0.286,9
M,0.610,0.480,0.170,1.137,0.457,0.290,0.347,10
M,0.610,0.460,0.160,1.000,0.494,0.197,0.275,10
F,0.615,0.475,0.155,1.004,0.448,0.193,0.289,10
M,0.615,0.470,0.165,1.128,0.447,0.220,0.340,10
M,0.615,0.500,0.170,1.054,0.484,0.228,0.295,10
F,0.615,0.475,0.165,1.023,0.490,0.196,0.303,12
M,0.615,0.475,0.170,1.129,0.479,0.302,0.300,10
M,0.615,0.480,0.175,1.118,0.446,0.320,0.300,9
F,0.615,0.475,0.155,1.115,0.484,0.211,0.355,10
M,0.620,0.510,0.175,1.282,0.572,0.238,0.390,10
M,0.620,0.495,0.180,1.256,0.577,0.254,0.355,12
F,0.620,0.500,0.150,1.293,0.596,0.314,0.354,10
F,0.620,0.475,0.160,1.129,0.463,0.269,0.330,10
M,0.625,0.455,0.170,1.082,0.495,0.234,0.315,9
F,0.625,0.505,0.175,1.150,0.547,0.256,0.304,11
F,0.625,0.515,0.160,1.264,0.572,0.326,0.321,9
F,0.625,0.480,0.155,1.204,0.587,0.239,0.319,12
F,0.630,0.485,0.170,1.321,0.595,0.345,0.345,9
I,0.630,0.505,0.180,1.272,0.603,0.295,0.315,11
M,0.630,0.485,0.145,1.062,0.506,0.178,0.337,12
I,0.630,0.475,0.145,1.060,0.516,0.220,0.280,10
M,0.630,0.495,0.160,1.093,0.497,0.221,0.315,12
M,0.635,0.490,0.160,1.101,0.534,0.186,0.345,10
F,0.635,0.500,0.165,1.460,0.705,0.265,0.390,9
F,0.635,0.495,0.175,1.211,0.707,0.273,0.323,9
M,0.635,0.475,0.170,1.194,0.520,0.270,0.366,10
M,0.635,0.510,0.155,0.986,0.405,0.226,0.310,10
M,0.640,0.565,0.230,1.521,0.644,0.372,0.406,15
M,0.640,0.525,0.180,1.313,0.486,0.299,0.407,10
M,0.645,0.510,0.160,1.183,0.556,0.238,0.345,11
M,0.645,0.500,0.195,1.401,0.617,0.351,0.372,10
M,0.645,0.525,0.160,1.508,0.746,0.245,0.432,11
F,0.650,0.505,0.165,1.160,0.478,0.274,0.349,11
F,0.650,0.590,0.220,1.662,0.770,0.378,0.435,11
M,0.650,0.525,0.175,1.536,0.686,0.358,0.405,11
M,0.650,0.510,0.190,1.542,0.716,0.373,0.375,9
F,0.650,0.510,0.170,1.567,0.725,0.349,0.391,10
F,0.655,0.525,0.190,1.359,0.564,0.322,0.399,10
M,0.655,0.535,0.205,1.645,0.731,0.359,0.460,13
F,0.655,0.520,0.190,1.454,0.600,0.387,0.383,10
M,0.655,0.490,0.175,1.359,0.639,0.294,0.365,10
F,0.660,0.495,0.210,1.548,0.724,0.352,0.393,10
F,0.660,0.515,0.170,1.337,0.615,0.312,0.357,10
